Blast No.,Date of Blast,Location of Blast,Total Charge,Max Charge Delay,Station,Distance,PPV,Freq,Airblast(dbl),Flyrock,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Ton Recover,Powder Factor
MAD622201921812,2019-06-21, Pit 1 Road side East (RE) and RL390 TO RL380,714.96,60.0,Highway Bridge,175.0,2.79,22.0,122.0,10.0,115.0,11.0,12.0,2.5,3.0,3.0,59.58,0.0,0.0
MAD623201950241,2019-06-22, Pit 1 Road side East (RE) and RL 320 TO RL 330,499.84,16.0,Highway Bridge,125.0,4.32,39.0,124.0,10.0,115.0,4.0,32.0,2.2,3.0,2.0,15.62,0.0,0.0
MAD627201945853,2019-06-24, Pit 1 Road side East (RE) and RL390 TO RL380,849.66,17.0,Highway Bridge,250.0,4.38,47.0,118.0,15.0,115.0,4.5,51.0,2.5,3.0,2.0,16.66,0.0,0.0
MAD630201985438,2019-06-29, Pit 2 Road side West (RW) and RL370 TO RL360,1149.98,89.0,Highway Bridge,215.0,1.27,21.0,118.0,10.0,115.0,12.0,13.0,2.5,3.5,2.5,88.46,0.0,0.0
MAD73201952901,2019-07-01, Pit 1 Road side East (RE) and RL 380 to 370,1250.1,42.0,HW,350.0,1.02,27.0,100.0,15.0,115.0,6.5,30.0,2.5,3.0,2.5,41.67,0.0,0.0
MAD713201925307,2019-07-11, Pit 1 Road side East (RE) and RL390 TO RL380,850.68,24.0,Highway Bridge,325.0,2.48,73.0,116.0,20.0,115.0,5.0,36.0,2.5,3.0,2.15,23.63,0.0,0.0
MAD716201935115,2019-07-13, Pit 2 Road side West (RW) and RL370 TO RL360,650.0,83.0,Highway Bridge,200.0,1.14,11.0,115.6,10.0,115.0,12.0,8.0,2.5,3.0,3.0,81.25,0.0,0.0
MAD716201943514,2019-07-16, Pit 1 Road side East (RE) and RL390 TO RL380,799.89,62.0,Highway Bridge,250.0,2.86,32.0,114.0,10.0,115.0,11.0,13.0,2.5,3.0,3.0,61.53,0.0,0.0
MAD718201963011,2019-07-18, Pit 1 Road side East (RE) and RL390 TO RL380,499.86,28.0,Highway Bridge,275.0,3.37,20.0,115.5,10.0,115.0,6.0,18.0,2.5,3.0,2.5,27.77,0.0,0.0
MAD719201954754,2019-07-19, Pit 1 Road side East (RE) and RL 380 to 370,450.0,18.0,Highway Bridge,325.0,1.43,57.0,112.0,15.0,115.0,4.5,25.0,2.5,3.0,2.75,18.0,0.0,0.0
MAD721201955834,2019-07-20, Pit 1 Road side East (RE) and RL 380 to 370,1174.88,84.0,Highway Bridge,190.0,2.35,17.0,109.5,10.0,115.0,12.0,14.0,2.5,3.5,3.0,83.92,0.0,0.0
MAD721201955834,2019-07-20, Pit 1 Road side East (RE) and RL 380 to 370,1174.88,84.0,Highway Bridge,190.0,2.35,17.0,109.5,10.0,115.0,12.0,14.0,2.5,3.5,3.0,83.92,0.0,0.0
MAD722201961000,2019-07-22, Pit 2 Road side West (RW) and RL370 TO RL360,799.68,14.0,Highway Bridge,340.0,1.59,43.0,117.0,15.0,115.0,4.0,51.0,2.2,3.0,2.0,15.68,0.0,0.0
MAD723201962550,2019-07-23, Pit 1 Road side East (RE) and RL390 TO RL380,600.0,60.0,Highway Bridge,200.0,2.22,19.0,118.0,10.0,115.0,10.0,10.0,2.5,3.0,3.0,60.0,0.0,0.0
MAD726201970008,2019-07-25, Pit 1 Road side East (RE) and RL 380 to 370,499.8,18.0,Highway Bridge,320.0,2.03,64.0,118.0,15.0,115.0,4.0,28.0,2.2,3.0,2.0,17.85,0.0,0.0
MAD730201944355,2019-07-30, Pit 1 Road side East (RE) and RL390 TO RL380,774.8,30.0,Highway Bridge,305.0,4.06,57.0,117.0,10.0,115.0,6.5,26.0,2.5,3.0,2.5,29.8,0.0,0.0
MAD85201971344,2019-08-02, Pit 1 Road side East (RE) and RL380 to RL370,1075.0,43.0,Highway Bridge,320.0,3.94,30.0,117.0,10.0,115.0,8.0,25.0,2.5,3.0,2.5,43.0,0.0,0.0
MAD872019120928,2019-08-03, Pit 2 Road side West (RW) and RL 370 TO RL 380,400.2,34.0,Highway Bridge,200.0,2.03,18.0,114.0,10.0,115.0,8.0,12.0,2.5,3.0,3.0,33.35,0.0,0.0
MAD87201921752,2019-08-05, Pit 2 Road side West (RW) and RL370 TO RL360,874.92,73.0,Highway Bridge,175.0,3.49,57.0,114.0,0.0,115.0,10.0,12.0,2.5,3.0,3.0,72.91,0.0,0.0
MAD812201944732,2019-08-12, Pit 2 Road side West (RW) and RL370 TO RL360,499.72,16.0,Highway Bridge,340.0,1.14,39.0,117.0,10.0,115.0,4.0,31.0,2.2,3.0,2.0,16.12,0.0,0.0
MAD813201945041,2019-08-13, Pit 1 Road side East (RE) and RL390 TO RL380,699.84,39.0,Highway Bridge,210.0,5.08,20.0,112.0,10.0,115.0,7.0,18.0,2.2,2.5,2.5,38.88,0.0,0.0
MAD819201943253,2019-08-16, Pit 2 Road side West (RW) and RL370 TO RL360,1338.0,67.0,Highway Bridge,150.0,4.06,28.0,114.0,10.0,121.0,10.0,20.0,2.5,3.0,3.0,66.9,0.0,0.0
MAD822201943642,2019-08-22, Pit 1 Road side East (RE) and RL380 to RL370,875.0,45.0,Myl kal,200.0,1.71,85.0,109.5,10.0,115.0,7.0,20.0,2.2,3.0,2.5,43.75,0.0,0.0
MAD824201952743,2019-08-23, Pit 1 Road side East (RE) and RL 380 to 370,1149.96,82.0,Highway Bridge,175.0,1.52,34.0,118.0,10.0,121.0,10.0,14.0,2.5,3.2,3.0,82.14,0.0,0.0
MAD824201955143,2019-08-23, Pit 1 Road side East (RE) and RL420 TO RL410,725.0,37.0,Myl kal,400.0,1.08,19.0,106.0,20.0,115.0,6.0,20.0,2.5,3.0,2.25,36.25,0.0,0.0
MAD826201961548,2019-08-26, Pit 1 Road side East (RE) and RL385,1100.0,55.0,Highway Bridge,175.0,2.67,17.0,115.6,10.0,115.0,8.0,20.0,2.5,3.0,2.5,55.0,0.0,0.0
MAD827201944615,2019-08-27, Pit 1 Road side East (RE) and RL390 TO RL380,899.86,36.0,Highway Bridge,310.0,1.65,57.0,117.0,15.0,115.0,7.0,26.0,2.2,3.0,2.5,34.61,0.0,0.0
MAD8302019110323,2019-08-29, Pit 1 Road side East (RE) and RL385,974.51,51.0,Highway Bridge,175.0,1.84,32.0,115.6,10.0,121.0,8.0,19.0,2.5,3.0,2.5,51.29,0.0,0.0
MAD830201965852,2019-08-30, Pit 1 Road side East (RE) and RL380 to RL370,1001.3,60.0,Highway Bridge,210.0,1.84,18.0,114.0,10.0,115.0,10.0,17.0,2.5,3.0,3.0,58.9,0.0,0.0
MAD94201954309,2019-09-03, Pit 1 Road side East (RE) and 385,824.98,44.0,Highway Bridge,175.0,2.16,47.0,115.6,10.0,115.0,8.0,19.0,2.5,3.5,2.5,43.42,0.0,0.0
MAD98201975506,2019-09-07, Pit 1 Road side East (RE) and RL380 TO RL370,549.92,40.0,Highway Bridge,175.0,4.89,47.0,120.0,10.0,115.0,8.0,14.0,2.5,3.5,2.5,39.28,0.0,0.0
MAD99201950635,2019-09-09, Pit 2 Road side West (RW) and RL370 TO RL360,1250.1,70.0,Highway Bridge,190.0,1.84,64.0,118.0,10.0,115.0,10.0,18.0,2.5,3.5,2.5,69.45,0.0,0.0
MAD912201950058,2019-09-11, Pit 2 Road side West (RW) and RL370 TO RL360,1205.47,71.0,Highway Bridge,200.0,1.02,64.0,117.0,10.0,121.0,10.0,17.0,2.5,3.5,3.0,70.91,0.0,0.0
MAD913201953051,2019-09-13, Pit 1 Road side East (RE) and RL380 TO RL370,1074.84,27.0,Highway Bridge,310.0,1.46,73.0,118.0,15.0,121.0,6.0,39.0,2.5,3.0,2.0,27.56,0.0,0.0
MAD916201950650,2019-09-16, Pit 2 Road side West (RW) and RL 360 TO RL350,1024.94,73.0,Highway Bridge,225.0,1.08,43.0,122.0,10.0,121.0,10.0,14.0,2.5,3.5,3.0,73.21,0.0,0.0
MAD917201953649,2019-09-17, Pit 2 Road side West (RW) and RL 360 TO RL350,450.0,90.0,Highway Bridge,150.0,2.03,57.0,117.0,10.0,121.0,12.0,5.0,2.5,3.5,3.0,90.0,0.0,0.0
MAD920201961231,2019-09-19, Pit 1 Road side East (RE) and RL 380 to 370,1299.78,72.0,Highway Bridge,150.0,1.78,27.0,115.6,10.0,121.0,10.0,18.0,2.5,3.5,3.0,72.21,0.0,0.0
MAD923201912612,2019-09-20, Pit 1 Road side East (RE) and RL380 TO RL370,575.0,29.0,Highway Bridge,200.0,1.02,73.0,115.6,10.0,121.0,6.0,20.0,2.5,3.5,2.5,28.75,0.0,0.0
